CODE NAME,CODE VALUE,DESCRIPTION
ACPT_VAL_C,AMNT,AMOUNT $
ACPT_VAL_C,DATE,DATE
ACPT_VAL_C,FLAG,FLAG (Y/N)
ACPT_VAL_C,TEXT,TEXT
ACPT_VAL_C,NUM,NUMERIC VALUE
ACTIVITY_C,100,GENERAL CASE MANAGEMENT
ACTIVITY_C,105,"REFERRAL, ADVOCACY, FOLLOW-UP"
ACTIVITY_C,110,CASE FINDING ATTEMPTS
ACTIVITY_C,200,CASE MANAGEMENT OUTREACH
ACTIVITY_C,300,CASE MANAGEMENT ADMINISTRATION
ACTIVITY_C,400,ACCRUED BENEFIT TIME
ACTIVITY_C,500,OTHER DIRECT SERVICES
ACTIVITY_C,501,HEALTH EDUCATION
ACTIVITY_C,502,COUNSELING
ACTIVITY_C,504,MEDICAL OR DEV ASSESSMENT
ACTIVITY_C,505,AIDS PROGRAM
ACTIVITY_C,506,ADOLESCENT HEALTH PROGRAM
ACTIVITY_C,507,APORS PROGRAM
ACTIVITY_C,508,BREAST & CERVICAL CANCER PRVNT
ACTIVITY_C,509,BREAST & CERVICAL CANCER SCRN
ACTIVITY_C,510,BREASTFEEDING PROMOTION PRJ
ACTIVITY_C,511,CARDIOVASCULAR DISEASE PRVT
ACTIVITY_C,512,CDC LEAD GRANT
ACTIVITY_C,513,CHILDHOOD INJURY PREVENTION PG
ACTIVITY_C,514,COMMUNICAL DISEASE PROGRAM
ACTIVITY_C,515,COMMUNITY BASED CHILDHOOD LEAD
ACTIVITY_C,519,EARLY INTERVENTION PROGRAM
ACTIVITY_C,520,EMERGENCY MED SRV & HIGHWAY SF
ACTIVITY_C,521,EPSDT
ACTIVITY_C,522,FAMILY PLANNING
ACTIVITY_C,523,FEDERAL CSFP
ACTIVITY_C,524,FLOURIDATION
ACTIVITY_C,525,FOCUS ON CHILDREN
ACTIVITY_C,526,IMMUNIZATION PROGRAM
ACTIVITY_C,527,INFECTIOUS DISEASES PROGRAM
ACTIVITY_C,528,REQUEST FOR TRANSFER
ACTIVITY_C,529,REFUGEE PROGRAM
ACTIVITY_C,530,SEXUALLY TRANSMITTED DISEASE
