TABLE,VAR,FORMAT,FORMAT.DESC,VAR.L,VAR.DESC
ACTIVITY,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
ACTIVITY,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
ACTIVITY,ACTIVITY_D,D,8,Activity Date,Indicates When the Activity Took Place.
ACTIVITY,ACTIVITY_C,C,4,Activity Code,Activity Performed - See Code Table.
ACTIVITY,ACTV_SEQ_N,N,2,Activity Sequence Number,Used to Assure Uniqueness When There Are Multiple Records for the Same Activity Code .
ACTIVITY,SERV_TYP_C,C,4,Service Type Code,Provides a Link to the Service Type Table.
ACTIVITY,EMPL_ID_I,N,9,Employee ID,Provides a Link to the Employee Table.
ACTIVITY,CONTMETH_C,C,4,Method Of Contact,See Code Table.
ACTIVITY,CONTSITE_C,C,4,Site Of Contact,See Code Table.
ACTIVITY,TIMSPNTH_H,N,2,Time Spent Hours,Time spent on the activity in hours.
ACTIVITY,TIMSPNTM_H,N,2,Time Spent Minutes,Time spent on the activity in minutes.
ACTIVITY,SYS_GEN_F,C,1,System Generated Indicator,Flag for System Generated Records.
ACTIVITY,COMMENTS_M,C,50,Comments,Used to record additional notes.
ACTIVITY,HV_FAIL_C,C,4,Failed Reason,Reason that home visit failed.
ACTIVITY,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ACTIVITY,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ACTIVITY,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ACTIVITY,UPLOAD_F,C,1,Upload Indicator,See Code Table.
ACTLPROC,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
ACTLPROC,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
ACTLPROC,ACT_PROC_D,D,8,Date of Service,Procedure Completion Date.
ACTLPROC,SERV_TYP_C,C,4,Service Type Code,Links to Service Type Code Table.
ACTLPROC,PROCEDUR_C,C,5,Procedure Code,Links to Procedure Code Table.
ACTLPROC,PAYEE_N,N,2,Payee Number,Used to Distinguish Between Provider Payees.
ACTLPROC,REF_PROV_I,N,9,Referring Provider ID,Links to Provider Table.
ACTLPROC,FACL_NME_T,C,30,Facility Name,Name of Facility.
ACTLPROC,PRI_AUTH_N,N,12,Primary Authorization Number,Primary Authorization Number.
ACTLPROC,UNIT_TYP_C,C,4,Unit Type Code,See Code Table.
ACTLPROC,UNITS_N,N,4,Number of Units,Number of Units used.
ACTLPROC,PROC_MOD_T,C,2,Modifier,See Code Table.
ACTLPROC,PRC_RSLT_C,C,4,Procedure Result,See Code Table .
ACTLPROC,PAYOR_C,C,4,Payor Code (Coverage Type),See Code Table (Can reference Medicaid/Insurance Table).
ACTLPROC,ADQ_ASSM_C,C,4,Adequacy or Assessment,See Code Table.
ACTLPROC,PRC_CHRG_N,N,7.2,Procedure Charge,Charge/Reimbursement Amount.
ACTLPROC,BIL_STAT_C,C,4,Billing Status,See Code Table.
ACTLPROC,BIL_ACKN_D,D,8,Bill Acknowledged Date,Date that bill was acknowledged.
ACTLPROC,BIL_PRNT_D,D,8,Bill Print Date,Date that bill was printed.
ACTLPROC,RSLT_RCV_D,D,8,Results Received Date,Date that results were received.
ACTLPROC,BTH_USED_C,C,4,Bethesda Used Code,Type of Bethesda System Used for Pap Tests.
ACTLPROC,SPCM_ADQ_C,C,4,Specimen Adequate Code,See Code Table.
ACTLPROC,SPCM_TYP_C,C,4,Specimen Type Code,See Code Table.
ACTLPROC,FILMCOMP_F,C,1,Film Comparison Flag,"""Y"" = Yes, ""N"" or Blank = No."
ACTLPROC,FILMCOMP_C,C,4,Film Comparison Codes,See Code Table.
ACTLPROC,FILMCOMP_D,D,8,Film Comparison Date,Date of Film Comparison.
ACTLPROC,PRC_TRT_F,C,1,Procedure Done as Treatment,"""Y"" = Yes, ""N"" or Blank = No."
ACTLPROC,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ACTLPROC,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ACTLPROC,UPLOAD_F,C,1,Upload Indicator,See Code Table.
ACTLPROC,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ACTLSERV,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
ACTLSERV,PART_ID_I,C,14,Participant ID,Cornerstone Participant Identifier.
ACTLSERV,ACT_SERV_D,D,8,Date of Service,Service Date.
ACTLSERV,SERV_TYP_C,C,4,Service Type Code,Link to Service Type Table.
ACTLSERV,EMPL_ID_I,N,9,Employee ID,Links to Employee Table.
ACTLSERV,SERV_PLC_C,C,4,Place of Service,See Code Table.
ACTLSERV,PROV_ID_I,N,9,Provider ID,Links to Provider Table.
ACTLSERV,PRI_DIAG_C,C,5,Primary Diagnosis Code,See Code Table.
ACTLSERV,SCN_DIAG_C,C,5,Secondary Diagnosis Code,Same as Above.
ACTLSERV,OTH_DIAG_C,C,5,Other Diagnosis Code,Same as Above.
ACTLSERV,TRAN_PRV_F,C,1,Transportation Provided Indicator,"""Y"" = Yes, ""N"" or Blank = No."
ACTLSERV,COMMENTS_M,C,50,Comments,Used to record additional notes.
ACTLSERV,UPLOAD_F,C,1,Upload Indicator,See Code Table.
ACTLSERV,CO_UPD_D,D,8,Central Office Date Last Update,Last Update from Central Office.
ACTLSERV,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ACTLSERV,OPERATOR_I,N,9,Operator ID,User Making Last Update.
ADDRESS,ADDR_ID_I,C,14,Address ID,This field contains the Cornerstone Participant Identifier for Participant Records (This table has a different format because it is also used to store other address types such as an Employee Address which could also be accessed if desired).
ADDRESS,CLINICID_I,C,6,Clinic ID,Cornerstone Clinic Number.
ADDRESS,ADDR_ID_C,C,4,Address ID Type Code,"Participant Address Records Contain the Literal ""PART.""
When selecting these records, normally filter on this value."
ADDRESS,ADDR_TYP_C,C,4,Address Type Code,"See Code Table - The Residential Address which will normally be used contains a value of ""R."""
ADDRESS,ADDR_LN1_T,C,20,Address Line 1,Address information.
ADDRESS,ADDR_LN2_T,C,20,Address Line 2,Address information.
ADDRESS,ADDR_APT_T,C,5,Apartment Number,Apartment number.
ADDRESS,ADDR_CTY_T,C,20,City,City name.
ADDRESS,ADDR_ST_C,C,4,State,Two Digit Postal Code in the Code Table.
ADDRESS,ADDR_ZIP_N,N,5,Zip Code,Zip Code.
ADDRESS,ZIP_EXT_N,N,4,Zip Code Extension,Zip Code Extension.
ADDRESS,CONT_NME_T,C,25,Contact Name,Contact Person's Name.
ADDRESS,RELATE_C,C,4,Relationship Code,See Code Table.
ADDRESS,COUNTY_C,C,4,County Code,See Code Table.
ADDRESS,PHNE_NBR_N,N,10,Phone Number,Phone Number.
ADDRESS,MODM_NBR_N,N,10,Modem Number,Modem Number.
ADDRESS,FAX_NBR_N,N,10,Fax Number,Fax Number.
ADDRESS,EMAIL_T,C,50,Email Address,Email Address.
ADDRESS,LAST_UPD_D,D,8,Date Last Update,Last Site Update of This Record.
ADDRESS,OPERATOR_I,N,9,Operator ID,User Making Last Update.
